,Embedded_text,UserName
0,"Eric #Zemmour sur 
@CNEWS
 : « Je ne demande à personne de partager mes propos : ils n’engagent que moi. Je sais ce que c’est que la responsabilité » #FAI
564
1.3K
5.3K",@ZemmourEric
1,"Eric #Zemmour sur 
@CNEWS
 #mineursisolés : « Au lieu de s’en prendre à moi, le ministre de la Justice ferait mieux de s’en prendre à ces délinquants » #FAI
428
1.7K
5.3K",@ZemmourEric
2,"Eric #Zemmour sur 
@CNEWS
 : « On a transformé l’éducation nationale en une fabrique de crétins comme le disait Jean-Paul Brighelli. Blanquer n’a pas arrêté cette machine folle » #FAI
81
545
1.8K",@ZemmourEric
3,"Eric #Zemmour sur 
@CNEWS
 : « L’ONU est une entreprise de propagande en faveur des migrations » 
@CNEWS
48
372
1.2K",@ZemmourEric
4,"Eric #Zemmour sur 
@CNEWS
 : « La Commission de Bruxelles n’a jamais digéré le Brexit : elle a décidé de faire payer les Anglais et de leur interdire ce qu’un Etat souverain peut faire » #FAI
29
229
783",@ZemmourEric
5,"Eric #Zemmour sur 
@CNEWS
 : « La France n’est plus une superpuissance mais elle veut le faire croire. Pour cela, elle a deux atouts : son siège au conseil de sécurité de l’ONU et la bombe atomique, deux héritages du général de Gaulle » #FAI
54
498
1.8K",@ZemmourEric
6,"« 
@LouisGeorgesTin
 fut tellement discriminé en tant que Martiniquais, noir et homosexuel, que l’État l’a contraint de faire ses études dans l’un des meilleurs lycées de France (Henri-IV) et qu’il a dû ensuite entrer à l’École normale supérieure »
lefigaro.fr
Éric Zemmour: «Les impostures de la pensée décoloniale»
CHRONIQUE - Une charge vive contre l’universalisme français par un militant aguerri des «luttes intersectionnelles». Une pensée raciste qui se prétend antiraciste.
11
185
568",@ZemmourEric
7,"Concernant la polémique sur les propos tenus par Eric #Zemmour dans #Facealinfo sur les mineurs isolés étrangers:
#Zemmour ne dit pas que les mineurs isolés sont TOUS des voleurs, des violeurs, des assassins
Mais qu'ils représentent TOUS un danger potentiel

La preuve ici
342
1.1K
3.2K",@ZemmourEric
8,"Replying to 
@d_sopo
 @CNEWS
 and 2 others
Il aurait été plus honnête de montrer la séquence en entier, la voici :
6
11
31",@ZemmourEric
9,"Concernant la polémique sur les propos tenus par Eric #Zemmour dans #Facealinfo sur les mineurs isolés étrangers:
#Zemmour ne dit pas que les mineurs isolés sont TOUS des voleurs, des violeurs, des assassins
Mais qu'ils représentent TOUS un danger potentiel

La preuve ici
0:53
73.3K views
342
1.1K
3.2K",@ZemmourEric
10,"Replying to 
@d_sopo
 @CNEWS
 and 2 others
Il aurait été plus honnête de montrer la séquence en entier, la voici :
0:53
949 views
6
11
31",@ZemmourEric
11,"Merci pour le soutien 
1K
1.8K
10.4K",@ZemmourEric
12,"Voici la séquence entière, qui date de février 2017:

 
@E_DupondM
 se lève en fin d'émission après avoir été remercié pour son passage
 Il se rassoit finalement pour écouter François 
@bayrou
 
 Il continue à discuter cordialement avec #Zemmour en marchant vers les coulisses
1:09
20.3K views
82
502
871",@ZemmourEric
13," Il ajoute que, par conséquent, il ne faut pas les laisser entrer
36
203
975",@ZemmourEric
14,"Non le ministre de la Justice 
@E_DupondM
 n'a pas brusquement quitté l'émission Zemmour&Naulleau après avoir dit « mon taxi arabe m'attend », comme il le prétend dans l'émission 
@cavousf5
 de cette semaine 
Quote Tweet
C à vous
@cavousf5
 · Oct 1, 2020
Éric Dupond-Moretti à propos d’Éric #Zemmour :   « C’est un multi récidiviste de la haine et du racisme ! »
#CàVous
184
583
1K",@ZemmourEric
15,"Eric #Zemmour dans 
@Le_Figaro
 : « Macron a largement échoué et il a eu l’honnêteté ou la faiblesse de le reconnaître publiquement »
lefigaro.fr
Éric Zemmour: «Quand Emmanuel Macron se prend pour Tintin au Liban…»
CHRONIQUE - Macron a largement échoué et il a eu l’honnêteté ou la faiblesse de le reconnaître publiquement.
31
201
557",@ZemmourEric
16,"Voici la séquence entière, qui date de février 2017:

 
@E_DupondM
 se lève en fin d'émission après avoir été remercié pour son passage
 Il se rassoit finalement pour écouter François 
@bayrou
 
 Il continue à discuter cordialement avec #Zemmour en marchant vers les coulisses
20.3K views
0:02 / 1:10
82
502
871",@ZemmourEric
17,"@le_Parisien
 se contente de reprendre un extrait partiel et partial :
youtube.com
Eric Zemmour visé par une enquête après ses propos sur les mineurs...
Les propos d'Eric Zemmour prononcés sur le plateau de CNews provoquent un tollé. L'éditorialiste a qualifié de «Voleurs», «assassins» et «violeurs» les mineu...
19
70
276",@ZemmourEric
18,"A tout de suite dans #Facealinfo sur 
@CNEWS
  !
0:11
10.7K views
60
118
634",@ZemmourEric
19,"Eric #Zemmour sur 
@CNEWS
 #FratelliTutti : 
@Pontifex_fr
 a transformé le Vatican en ONG qui part au secours des migrants. Ce n’est pas son rôle » #FAI
66
382
1.3K",@ZemmourEric
20,"Eric #Zemmour sur 
@CNEWS
 #FratelliTutti : « 
@Pontifex_fr
 est un pape post-catholique. Il fait penser à la fameuse phrase de Chesterton qui disaient que le monde est plein d’idées chrétiennes devenues folles » #FAI
24
204
720",@ZemmourEric
21,"A tout de suite dans #Facealinfo sur 
@CNEWS
  !
10.7K views
0:02 / 0:12
0:10
10.7K views
60
118
634",@ZemmourEric
22,"Eric #Zemmour sur 
@CNEWS
 #séparatisme : « Pourquoi va-t-on enseigner l’arabe à l’école ? A-t-on appris l’italien aux petits Italiens installés en France ? A-t-on appris le russe aux petits Russes » #FAI
386
1.4K
4.4K",@ZemmourEric
23,"Eric #Zemmour sur 
@CNEWS
 #PierreDeVilliers : « Il y a une demande d’autorité et de patriotisme en France. On est sorti de la parenthèse soixante-huitarde » #FAI
39
451
1.6K",@ZemmourEric
24,"Eric #Zemmour sur 
@CNEWS
 #PierreDeVilliers : « Dans la tradition française, quand la patrie est en danger et que l’Etat semble dépassé, on va chercher un général » #FAI
82
404
1.5K",@ZemmourEric
25,"Eric #Zemmour sur 
@CNEWS
 #séparatisme (1/2) : « Jamais un président de la République n’est allé aussi loin. Il a parlé de volonté de conquête de l’islamisme. Il a montré tout ce qui se passait dans les banlieues qui sont devenues des territoires islamisés » #FAI
65
460
1.5K",@ZemmourEric
26,"Eric #Zemmour sur 
@CNEWS
 #séparatisme (2/2) : « C’est ce que je dis depuis quinze ans sous les insultes, les brocards, devant les policiers à qui je dois expliquer ma pensée ou devant les juges » #FAI
39
335
1.3K",@ZemmourEric
27,"Eric #Zemmour sur 
@CNEWS
 : « Il y a des ministres qui estiment qu’une fois qu’ils ont communiqué, ils ont agi » #FAI
70
554
2.1K",@ZemmourEric
28,"Eric #Zemmour sur 
@CNEWS
 : « Les Français attendent un Bonaparte ou un De Gaulle. Ils veulent un homme qui tranche, qui prend des décisions, qui ose la France. Or le général de Villiers est un homme du consensus » #FAI
150
578
2K",@ZemmourEric
